species,total_length,weight
Stolo,84,3.9
Stolo,83,3.53
Stolo,83,2.43
Stolo,72,2.43
Stolo,80,3.4
Stolo,83,3.6
Stolo,83,3.33
Stolo,85,4.15
Stolo,78,3.9
Stolo,83,3.62
Stolo,76,2.78
Stolo,84,3.77
Stolo,80,3.09
Stolo,87,4.14
Stolo,84,3.9
Stolo,81,3.1
Stolo,79,2.87
Stolo,97,5.64
Stolo,92,4.56
Stolo,80,3.21
Stolo,70,2.1
Stolo,84,3.6
Stolo,90,4.76
Stolo,90,5.1
Stolo,92,4.78
Stolo,83,3.74
Stolo,78,2.93
Stolo,76,2.83
Stolo,91,5.03
Stolo,88,4.37
Stolo,80,3.35
Stolo,78,2.88
Stolo,71,2.14
Stolo,85,3.75
Stolo,85,3.95
Stolo,85,3.97
Stolo,80,3.17
Stolo,83,3.6
Stolo,79,3.02
Stolo,83,3.28
Stolo,85,3.51
Stolo,84,3.81
Stolo,87,4.28
Stolo,75,2.68
Stolo,80,3.24
Stolo,82,3.84
Stolo,82,3.53
Stolo,78,2.95
Stolo,77,2.84
Stolo,86,3.9
Stolo,86,4.21
Stolo,95,5.35
Stolo,83,3.56
Stolo,90,4.23
Stolo,75,2.81
Stolo,77,2.78
Stolo,80,3.19
Stolo,78,2.98
Stolo,80,3.15
Stolo,90,4.37
Stolo,80,3.13
Stolo,85,3.7
Stolo,87,4.25
Stolo,75,2.65
Stolo,85,3.45
Stolo,80,3.08
Stolo,75,2.64
Stolo,83,3.06
Stolo,81,3.49
Stolo,83,3.36
Stolo,82,3.51
Stolo,91,4.74
Stolo,73,2.18
Stolo,84,3.55
Stolo,72,2.09
Stolo,83,3.67
Stolo,82,3.57
Stolo,88,4.67
Stolo,86,3.75
Stolo,93,4
Stolo,75,2
Stolo,82,3.14
Stolo,79,3.26
Stolo,86,4.18
Stolo,83,3.61
Stolo,71,2.23
Stolo,80,3.41
Stolo,75,2.71
Stolo,78,2.83
Stolo,77,2.82
Stolo,84,3.74
Stolo,67,1.86
Stolo,70,2.2
Stolo,70,2.28
Stolo,85,3.72
Stolo,85,3.81
Stolo,78,2.78
Stolo,81,3.31
Stolo,81,3.46
Stolo,75,2.55
Stolo,80,3.05
Stolo,80,3.05
Stolo,85,3.98
Stolo,60,1.32
Stolo,64,1.61
Stolo,86,4.28
Stolo,95,5.14
Stolo,71,2.16
Stolo,74,2.62
Stolo,65,1.85
Stolo,75,2.48
Stolo,76,2.68
Stolo,78,2.07
Stolo,70,2.08
Stolo,70,2.1
Stolo,60,1.53
Stolo,78,3.09
Stolo,75,2.68
Stolo,85,3.78
Stolo,80,3.19
Stolo,70,2.18
Stolo,70,2.17
Stolo,70,2.25
Stolo,73,2.49
Stolo,72,2.4
Stolo,75,2.2
Stolo,76,2.56
Stolo,80,3.51
Stolo,87,3.25
Stolo,84,4.11
Stolo,81,3.68
Stolo,68,1.75
Stolo,80,3.36
Stolo,85,3.65
Stolo,87,4.29
Stolo,88,4.68
Stolo,71,2.33
Stolo,82,3.81
Stolo,89,4.8
Stolo,95,5.9
Stolo,85,4.7
Stolo,85,4.24
Stolo,85,4.28
Stolo,85,4.21
Stolo,83,3.68
Stolo,77,3.11
Stolo,75,2.49
Stolo,81,3.55
Stolo,79,3.26
Stolo,90,5.1
Stolo,79,3.24
Stolo,86,4.05
Stolo,84,3.65
Stolo,75,2.67
Stolo,87,4.6
Stolo,88,4.85
Stolo,84,3.21
Stolo,87,4.11
Stolo,83,3.69
Stolo,80,3.52
Stolo,88,4.59
Stolo,83,3.65
Stolo,76,2.79
Stolo,89,4.86
Stolo,75,3.05
Stolo,83,5.46
Stolo,88,4.73
Stolo,80,3.65
Stolo,84,3.72
Stolo,81,3.6
Stolo,79,3.18
Stolo,77,2.9
Stolo,80,3.43
Stolo,85,4.15
Stolo,70,2.32
Stolo,84,3.7
Stolo,72,2.2
Stolo,86,4.58
Stolo,76,3.17
Stolo,84,3.79
Stolo,84,3.81
Stolo,81,3.65
Stolo,91,4.85
Stolo,87,3.08
Stolo,82,3.7
Stolo,74,2.43
Stolo,76,2.85
Stolo,80,3.44
Stolo,82,3.98
Stolo,83,3.05
Stolo,90,4.77
Stolo,80,3.13
Stolo,75,3.89
Stolo,84,4.4
Stolo,82,3.34
Stolo,88,3.65
Stolo,84,4.3
Stolo,87,4.18
Stolo,82,3.78
Stolo,83,3.91
Stolo,82,3.72
Stolo,94,5.98
Stolo,82,3.81
Stolo,88,3.96
Stolo,89,4.59
Stolo,77,2.89
Stolo,81,3.46
Stolo,88,4.98
Stolo,90,5.4
Stolo,85,4.03
Stolo,82,3.46
Stolo,77,3.06
Stolo,81,3.48
Stolo,90,4.92
Stolo,81,2.29
Stolo,85,3.9
Stolo,85,3.95
Stolo,84,3.97
Stolo,91,5.2
Stolo,80,3.12
Stolo,90,5.06
Stolo,90,4.73
Stolo,85,4.08
Stolo,85,4.29
Stolo,78,3.06
Stolo,86,3.9
Stolo,86,3.96
Stolo,76,2
Stolo,83,3.05
Stolo,92,5.16
Stolo,85,4.12
Stolo,81,3.46
Stolo,85,3.85
Stolo,88,4.18
Stolo,90,4.76
Stolo,85,4.08
Stolo,90,5.1
Stolo,93,5.17
Stolo,88,4.61
Stolo,85,3.9
Stolo,90,4.49
Stolo,85,4.36
Stolo,82,3.52
Stolo,85,4.16
Stolo,82,3.65
Stolo,83,3.73
Stolo,86,4.16
Stolo,82,3.75
Stolo,83,3.8
Stolo,72,2.39
Stolo,83,3.87
Stolo,82,3.94
Stolo,85,3.88
Stolo,85,4.5
Stolo,87,4.25
Stolo,81,3.42
Stolo,87,4.4
Stolo,81,3.38
Stolo,86,4.13
Stolo,87,4.01
Stolo,95,5.29
Stolo,88,4.58
Stolo,84,3.94
Stolo,85,3.96
