time,latitude,longitude,precip
1981-05-01,-2.175003,32.925003,222.77563
1981-05-01,-2.175003,32.97499,239.17897
1981-05-01,-2.175003,33.024994,242.6218
1981-05-01,-2.175003,33.074997,236.37639
1981-05-01,-2.175003,33.125,211.21825
1981-05-01,-2.125,32.875,230.87935
1981-05-01,-2.125,32.925003,230.93416
1981-05-01,-2.125,32.97499,251.90723
1981-05-01,-2.125,33.024994,257.53064
1981-05-01,-2.125,33.074997,234.67542
1981-05-01,-2.125,33.125,197.59389
1981-05-01,-2.0750008,32.875,229.78755
1981-05-01,-2.0750008,32.925003,221.7334
1981-05-01,-2.0750008,32.97499,229.4349
1981-05-01,-2.0750008,33.024994,221.51402
1981-05-01,-2.0750008,33.074997,215.24866
1981-05-01,-2.0750008,33.125,209.27641
1981-05-01,-2.0250015,32.875,222.56636
1981-05-01,-2.0250015,32.925003,212.90654
1981-05-01,-2.0250015,32.97499,222.38974
1981-05-01,-2.0250015,33.024994,214.46082
1981-05-01,-2.0250015,33.074997,228.12564
1981-05-01,-2.0250015,33.125,221.42416
1981-05-01,-1.9750023,32.875,219.39146
1981-05-01,-1.9750023,32.925003,214.06021
1981-05-01,-1.9750023,32.97499,237.08853
1981-05-01,-1.9750023,33.024994,232.4938
1981-05-01,-1.9750023,33.074997,225.62923
1981-05-01,-1.9750023,33.125,217.449
1981-06-01,-2.175003,32.875,10.883396
1981-06-01,-2.175003,32.925003,11.217464
1981-06-01,-2.175003,32.97499,11.271931
1981-06-01,-2.175003,33.024994,11.644873
1981-06-01,-2.175003,33.074997,13.8735485
1981-06-01,-2.175003,33.125,11.847256
1981-06-01,-2.125,32.875,13.479906
1981-06-01,-2.125,32.925003,13.1402645
1981-06-01,-2.125,32.97499,13.433017
1981-06-01,-2.125,33.024994,12.549477
1981-06-01,-2.125,33.074997,11.5926285
1981-06-01,-2.125,33.125,10.469573
1981-06-01,-2.0750008,32.875,13.861872
1981-06-01,-2.0750008,32.925003,12.662851
1981-06-01,-2.0750008,32.97499,10.934154
1981-06-01,-2.0750008,33.024994,10.372137
1981-06-01,-2.0750008,33.074997,10.828768
1981-06-01,-2.0750008,33.125,12.42477
1981-06-01,-2.0250015,32.875,15.026453
1981-06-01,-2.0250015,32.925003,12.719618
1981-06-01,-2.0250015,32.97499,11.274398
1981-06-01,-2.0250015,33.024994,11.602591
1981-06-01,-2.0250015,33.074997,12.842317
1981-06-01,-2.0250015,33.125,15.045631
1981-06-01,-1.9750023,32.875,15.857745
1981-06-01,-1.9750023,32.925003,14.306715
1981-06-01,-1.9750023,32.97499,14.732004
1981-06-01,-1.9750023,33.024994,15.043566
1981-06-01,-1.9750023,33.074997,13.376406
1981-06-01,-1.9750023,33.125,13.806289
1981-07-01,-2.175003,32.875,16.145319
1981-07-01,-2.175003,32.925003,16.671532
1981-07-01,-2.175003,32.97499,14.66976
1981-07-01,-2.175003,33.024994,15.444913
1981-07-01,-2.175003,33.074997,11.580825
1981-07-01,-2.175003,33.125,10.953464
1981-07-01,-2.125,32.875,20.851807
1981-07-01,-2.125,32.925003,22.867847
1981-07-01,-2.125,32.97499,19.970728
1981-07-01,-2.125,33.024994,20.880192
1981-07-01,-2.125,33.074997,11.964843
1981-07-01,-2.125,33.125,6.620616
1981-07-01,-2.0750008,32.875,25.830389
1981-07-01,-2.0750008,32.925003,19.92744
1981-07-01,-2.0750008,32.97499,18.105173
1981-07-01,-2.0750008,33.024994,15.230932
1981-07-01,-2.0750008,33.074997,4.8376036
1981-07-01,-2.0750008,33.125,11.19002
1981-07-01,-2.0250015,32.875,23.398104
1981-07-01,-2.0250015,32.925003,20.630192
1981-07-01,-2.0250015,32.97499,20.369322
1981-07-01,-2.0250015,33.024994,17.826982
1981-07-01,-2.0250015,33.074997,8.919525
1981-07-01,-2.0250015,33.125,15.040057
1981-07-01,-1.9750023,32.875,25.874895
1981-07-01,-1.9750023,32.925003,25.401878
1981-07-01,-1.9750023,32.97499,28.135416
1981-07-01,-1.9750023,33.024994,26.885157
1981-07-01,-1.9750023,33.074997,16.735283
1981-07-01,-1.9750023,33.125,17.790155
1981-08-01,-2.175003,32.875,30.016613
1981-08-01,-2.175003,32.925003,29.497967
1981-08-01,-2.175003,32.97499,28.191849
1981-08-01,-2.175003,33.024994,29.898863
1981-08-01,-2.175003,33.074997,28.187733
1981-08-01,-2.175003,33.125,24.742466
1981-08-01,-2.125,32.875,31.222567
1981-08-01,-2.125,32.925003,34.254917
1981-08-01,-2.125,32.97499,31.353123
1981-08-01,-2.125,33.024994,30.874184
1981-08-01,-2.125,33.074997,26.428493
1981-08-01,-2.125,33.125,24.815739
1981-08-01,-2.0750008,32.875,37.19869
1981-08-01,-2.0750008,32.925003,37.79383
1981-08-01,-2.0750008,32.97499,36.398716
1981-08-01,-2.0750008,33.024994,37.554188
1981-08-01,-2.0750008,33.074997,35.95625
1981-08-01,-2.0750008,33.125,30.616888
1981-08-01,-2.0250015,32.875,37.503666
1981-08-01,-2.0250015,32.925003,34.136246
1981-08-01,-2.0250015,32.97499,32.687027
1981-08-01,-2.0250015,33.024994,35.2909
1981-08-01,-2.0250015,33.074997,36.308895
1981-08-01,-2.0250015,33.125,33.595512
1981-08-01,-1.9750023,32.875,41.187992
1981-08-01,-1.9750023,32.925003,38.682846
1981-08-01,-1.9750023,32.97499,40.30831
1981-08-01,-1.9750023,33.024994,42.69996
1981-08-01,-1.9750023,33.074997,38.628166
1981-08-01,-1.9750023,33.125,34.07373
1981-09-01,-2.175003,32.875,50.64507
1981-09-01,-2.175003,32.925003,50.901485
1981-09-01,-2.175003,32.97499,49.152985
1981-09-01,-2.175003,33.024994,46.263058
1981-09-01,-2.175003,33.074997,43.251705
1981-09-01,-2.175003,33.125,42.697456
1981-09-01,-2.125,32.875,54.25878
1981-09-01,-2.125,32.925003,54.74022
1981-09-01,-2.125,32.97499,52.23925
1981-09-01,-2.125,33.024994,44.094727
1981-09-01,-2.125,33.074997,44.779793
1981-09-01,-2.125,33.125,44.610157
1981-09-01,-2.0750008,32.875,59.725437
1981-09-01,-2.0750008,32.925003,58.241634
1981-09-01,-2.0750008,32.97499,56.96706
1981-09-01,-2.0750008,33.024994,56.217102
1981-09-01,-2.0750008,33.074997,66.15912
1981-09-01,-2.0750008,33.125,52.27308
1981-09-01,-2.0250015,32.875,60.364075
1981-09-01,-2.0250015,32.925003,61.709465
1981-09-01,-2.0250015,32.97499,59.57743
1981-09-01,-2.0250015,33.024994,61.08057
1981-09-01,-2.0250015,33.074997,66.39491
1981-09-01,-2.0250015,33.125,53.25745
1981-09-01,-1.9750023,32.875,62.951992
1981-09-01,-1.9750023,32.925003,64.28865
1981-09-01,-1.9750023,32.97499,62.346992
1981-09-01,-1.9750023,33.024994,62.86478
1981-09-01,-1.9750023,33.074997,60.54866
1981-09-01,-1.9750023,33.125,51.646767
1981-10-01,-2.175003,32.875,62.05989
1981-10-01,-2.175003,32.925003,57.382904
1981-10-01,-2.175003,32.97499,52.734055
1981-10-01,-2.175003,33.024994,50.3646
1981-10-01,-2.175003,33.074997,49.497246
1981-10-01,-2.175003,33.125,51.989716
1981-10-01,-2.125,32.875,69.07376
1981-10-01,-2.125,32.925003,67.08736
1981-10-01,-2.125,32.97499,61.138275
1981-10-01,-2.125,33.024994,52.416603
1981-10-01,-2.125,33.074997,48.962196
1981-10-01,-2.125,33.125,49.301304
1981-10-01,-2.0750008,32.875,70.71604
1981-10-01,-2.0750008,32.925003,64.76043
1981-10-01,-2.0750008,32.97499,57.738655
1981-10-01,-2.0750008,33.024994,57.373196
1981-10-01,-2.0750008,33.074997,69.832825
1981-10-01,-2.0750008,33.125,63.05826
1981-10-01,-2.0250015,32.875,64.39253
1981-10-01,-2.0250015,32.925003,63.729782
1981-10-01,-2.0250015,32.97499,61.04474
1981-10-01,-2.0250015,33.024994,64.11237
1981-10-01,-2.0250015,33.074997,73.64311
1981-10-01,-2.0250015,33.125,66.49741
1981-10-01,-1.9750023,32.875,72.330414
1981-10-01,-1.9750023,32.925003,72.544754
1981-10-01,-1.9750023,32.97499,72.40519
1981-10-01,-1.9750023,33.024994,72.256256
1981-10-01,-1.9750023,33.074997,71.68631
1981-10-01,-1.9750023,33.125,65.66368
1981-11-01,-2.175003,32.875,65.43709
1981-11-01,-2.175003,32.925003,65.6191
1981-11-01,-2.175003,32.97499,67.671616
1981-11-01,-2.175003,33.024994,66.64834
1981-11-01,-2.175003,33.074997,65.79883
1981-11-01,-2.175003,33.125,63.362938
1981-11-01,-2.125,32.875,65.690575
1981-11-01,-2.125,32.925003,64.721115
1981-11-01,-2.125,32.97499,66.939865
