time,temperature
1880-01-15,-0.2322751085639344
1880-02-15,-0.40081096507275277
1880-03-15,-0.1818604409928908
1880-04-15,-0.20036871937078243
1880-05-15,-0.12666106654583775
1880-06-15,-0.18835427946651606
1880-07-15,-0.16554001601845456
1880-08-15,-0.13448284897963358
1880-09-15,-0.14568456899907678
1880-10-15,-0.25720978129214567
1880-11-15,-0.2727334358148989
1880-12-15,-0.2870665050865623
1881-01-15,-0.20305375333524073
1881-02-15,-0.26707052921301494
1881-03-15,-0.11055474950712704
1881-04-15,-0.023291030177398368
1881-05-15,-0.0528340421121211
1881-06-15,-0.31992830199400046
1881-07-15,-0.06537224078193861
1881-08-15,-0.09712485362818517
1881-09-15,-0.24264483531819173
1881-10-15,-0.2690405549166249
1881-11-15,-0.2244695109547532
1881-12-15,-0.13729229925888667
1882-01-15,0.05005187845260899
1882-02-15,0.1210302343330413
1882-03-15,-0.05552763694981535
1882-04-15,-0.2615985386226485
1882-05-15,-0.16844594798217064
1882-06-15,-0.24970370455857768
1882-07-15,-0.22217770298541195
1882-08-15,-0.11244790961282466
1882-09-15,-0.1869375284473383
1882-10-15,-0.3781248283202544
1882-11-15,-0.34584229862619587
1882-12-15,-0.710201187909085
1883-01-15,-0.3875711424223221
1883-02-15,-0.39067414857112287
1883-03-15,0.015089641096983176
1883-04-15,-0.2003773223701193
1883-05-15,-0.20406550767967432
1883-06-15,-0.09041495744206181
1883-07-15,-0.08983201206421763
1883-08-15,-0.19020106695773614
1883-09-15,-0.2335449591214879
1883-10-15,-0.11880958340104368
1883-11-15,-0.3339513471621095
1883-12-15,-0.19642577516308987
1884-01-15,-0.24084843369013248
1884-02-15,-0.16205740868746324
1884-03-15,-0.4952339118931324
1884-04-15,-0.5273682311698499
1884-05-15,-0.4856168500092225
1884-06-15,-0.4309891537823329
1884-07-15,-0.4118447957046784
1884-08-15,-0.3835402334051139
1884-09-15,-0.3821492688640083
1884-10-15,-0.2857962113567429
1884-11-15,-0.3726387212694638
1884-12-15,-0.4252716062149627
1885-01-15,-0.7659131363375052
1885-02-15,-0.28893545595030545
1885-03-15,-0.2708232002059937
1885-04-15,-0.4838265935205243
1885-05-15,-0.585845581358231
1885-06-15,-0.5472240623176184
1885-07-15,-0.3717825663266208
1885-08-15,-0.3934579677912357
1885-09-15,-0.4395493776506761
1885-10-15,-0.4150620679552794
1885-11-15,-0.4807738707532617
1885-12-15,-0.29112577055150507
1886-01-15,-0.76231663022515594
1886-02-15,-0.6586610022269316
1886-03-15,-0.647539328597952
1886-04-15,-0.41899713931085497
1886-05-15,-0.35679002348728395
1886-06-15,-0.409033052257141
1886-07-15,-0.17090955779533787
1886-08-15,-0.3450350602591182
1886-09-15,-0.2679142003332903
1886-10-15,-0.30505513864392647
1886-11-15,-0.30048054836340043
1886-12-15,-0.3380215599066314
1887-01-15,-0.9053879787670679
1887-02-15,-0.6541083855760338
1887-03-15,-0.5072006770185037
1887-04-15,-0.47368864289232954
1887-05-15,-0.3318971587108262
1887-06-15,-0.2068909230005
1887-07-15,-0.27745835915830175
1887-08-15,-0.4672131605396506
1887-09-15,-0.2702201631882211
1887-10-15,-0.49234135133667534
1887-11-15,-0.4460640848832003
1887-12-15,-0.6076733968220651
1888-01-15,-0.3731527543896133
1888-02-15,-0.5284955125363874
1888-03-15,-0.6670602556927471
1888-04-15,-0.3577548735989022
1888-05-15,-0.3201969625400097
1888-06-15,-0.19931031104808625
1888-07-15,-0.09438782278766852
1888-08-15,-0.17348037988119144
1888-09-15,-0.1893223495168145
1888-10-15,-0.08579421416404553
1888-11-15,-0.02341944845087148
1888-12-15,-0.31389034348896877
1889-01-15,-0.2451723510279864
1889-02-15,0.19755589696850626
1889-03-15,-0.10783092812714343
1889-04-15,0.12020807158985408
1889-05-15,0.009860449349251647
1889-06-15,-0.08763108735117074
1889-07-15,-0.1256707030634245
1889-08-15,-0.26747748680211536
1889-09-15,-0.2579788536659966
1889-10-15,-0.27737294741551105
1889-11-15,-0.4836049084834394
1889-12-15,-0.5042440227962209
1890-01-15,-0.61003484981614
1890-02-15,-0.5627657708690291
1890-03-15,-0.5174415065105118
1890-04-15,-0.39385517387147295
1890-05-15,-0.4593477248077173
1890-06-15,-0.23049576472957475
1890-07-15,-0.2836501255411473
1890-08-15,-0.37478987887936993
1890-09-15,-0.33276239509838157
1890-10-15,-0.14581954947823364
1890-11-15,-0.6199524165183509
1890-12-15,-0.35275958772864247
1891-01-15,-0.3542468175446604
1891-02-15,-0.6126009052439615
1891-03-15,-0.1692020074093468
1891-04-15,-0.3799786905073058
1891-05-15,-0.18907334520357078
1891-06-15,-0.21290555406719278
1891-07-15,-0.25028068429419104
1891-08-15,-0.19606263924690345
1891-09-15,-0.23858418593754172
1891-10-15,-0.31439251633726545
1891-11-15,-0.4838254183884466
1891-12-15,-0.20607304706871057
1892-01-15,-0.5216226173477005
1892-02-15,-0.23695204110514684
1892-03-15,-0.5241422852947991
1892-04-15,-0.4767917388458561
1892-05-15,-0.28126836378664233
1892-06-15,-0.17271419727292087
1892-07-15,-0.39202009089141343
1892-08-15,-0.32109070097574555
1892-09-15,-0.2082234837377124
1892-10-15,-0.12482933573783873
1892-11-15,-0.5978201639276736
1892-12-15,-0.41409234211372015
1893-01-15,-1.0333937720430175
1893-02-15,-0.6724732588216353
1893-03-15,-0.22252380455001478
1893-04-15,-0.26340688844229404
1893-05-15,-0.3416126057129457
1893-06-15,-0.2574321115206398
1893-07-15,-0.13940514832293116
1893-08-15,-0.28265561279386386
1893-09-15,-0.2433209499162351
