lon,lat,year,temperature
-179,35,2021,1.193333307
-179,37,1990,0.785833316
-179,37,2020,0.313333326
-179,37,2021,1.151666641
-179,39,1990,0.744999983
-179,39,2020,0.285833327
-179,39,2021,1.143333308
-179,41,1990,0.551666654
-179,41,2020,0.318333326
-179,41,2021,1.108333309
-179,43,1990,0.285833327
-179,43,2020,0.336666659
-179,43,2021,0.931666646
-179,45,1990,0.187499996
-179,45,2020,0.359166659
-179,45,2021,0.753333316
-179,47,1990,0.142499997
-179,47,2020,0.439166657
-179,47,2021,0.57583332
-179,49,1990,0.16333333
-179,49,2020,0.559999987
-179,49,2021,0.584999987
-179,51,1990,0.534166655
-179,51,2020,1.398333302
-179,51,2021,1.416666635
-179,53,1990,0.796666649
-179,53,2020,2.008333288
-179,53,2021,1.982499956
-179,55,1990,0.364999992
-179,55,2020,1.236666639
-179,55,2021,1.003333311
-179,57,1990,0.454166657
-179,57,2020,1.533333299
-179,57,2021,1.099166642
-179,59,1990,0.354166659
-179,59,2020,1.750833294
-179,59,2021,1.161666641
-179,61,1990,0.072499998
-179,61,2020,1.861666625
-179,61,2021,1.154166641
-179,63,1990,0.13083333
-179,63,2020,2.016666622
-179,63,2021,1.052499976
-179,65,1990,0.194166662
-179,65,2020,2.377499947
-179,65,2021,0.763333316
-179,67,1990,0.368333325
-179,67,2020,2.342499948
-179,67,2021,0.422499991
-179,69,1990,0.420833324
-179,69,2020,2.419999946
-179,69,2021,0.455833323
-179,71,1990,0.507499989
-179,71,2020,2.527499944
-179,71,2021,0.527499988
-179,73,1990,0.614999986
-179,73,2020,2.623333275
-179,73,2021,0.604999986
-179,75,1990,0.769166649
-179,75,2020,2.744999939
-179,75,2021,0.714999984
-179,77,1990,1.095833309
-179,77,2020,2.9816666
-179,77,2021,1.02833331
-179,79,1990,1.416666635
-179,79,2020,3.287499927
-179,79,2021,1.369999969
-179,81,1990,1.509999966
-179,81,2020,3.42416659
-179,81,2021,1.609999964
-179,83,1990,0.91499998
-179,83,2020,3.796666582
-179,83,2021,3.72583325
-179,85,1990,0.91499998
-179,85,2020,3.796666582
-179,85,2021,3.72583325
-179,87,1990,0.91499998
-179,87,2020,3.796666582
-179,87,2021,3.72583325
-179,89,1990,0.91499998
-179,89,2020,3.796666582
-179,89,2021,3.72583325
-177,-89,1990,-0.207499995
-177,-89,2020,0.482499989
-177,-89,2021,-1.06083331
-177,-87,1990,-0.207499995
-177,-87,2020,0.482499989
-177,-87,2021,-1.06083331
-177,-85,1990,-0.207499995
-177,-85,2020,0.482499989
-177,-85,2021,-1.06083331
-177,-83,1990,-0.207499995
-177,-83,2020,0.482499989
-177,-83,2021,-1.06083331
-177,-81,1990,0.069166665
-177,-81,2020,1.139999975
-177,-81,2021,0.156666663
-177,-79,1990,0.127499997
-177,-79,2020,1.219999973
-177,-79,2021,0.30916666
-177,-77,1990,0.239999995
-177,-77,2020,1.339166637
-177,-77,2021,0.544166655
-177,-75,1990,0.244166661
-177,-75,2020,1.379166636
-177,-75,2021,0.683333318
-177,-73,1990,0.245833328
-177,-73,2020,1.419999968
-177,-73,2021,0.822499982
-177,-71,1990,0.232499995
-177,-71,2020,1.468333301
-177,-71,2021,1.001666644
-177,-69,1990,0.251666661
-177,-69,2020,1.496666633
-177,-69,2021,1.259999972
-177,-67,1990,0.044999999
-177,-67,2020,0.064999999
-177,-67,2021,-0.059999999
-177,-65,1990,0.199999996
-177,-65,2020,0.189999996
-177,-65,2021,-0.016666666
-177,-63,1990,0.179999996
-177,-63,2020,0.256666661
-177,-63,2021,0.023333333
-177,-61,1990,0.139999997
-177,-61,2020,0.308333326
-177,-61,2021,0.136666664
-177,-59,1990,0.117499997
-177,-59,2020,0.404999991
-177,-59,2021,0.265833327
-177,-57,1990,0.054999999
-177,-57,2020,0.473333323
-177,-57,2021,0.405833324
-177,-55,1990,-0.0025
-177,-55,2020,0.490833322
-177,-55,2021,0.511666655
-177,-53,1990,-0.013333333
-177,-53,2020,0.480833323
-177,-53,2021,0.584166654
-177,-51,1990,0.034999999
-177,-51,2020,0.469999989
-177,-51,2021,0.653333319
-177,-49,1990,0.110833331
-177,-49,2020,0.456666656
-177,-49,2021,0.695833318
-177,-47,1990,0.173333329
-177,-47,2020,0.44999999
-177,-47,2021,0.703333318
-177,-45,1990,0.299999993
-177,-45,2020,0.486666656
-177,-45,2021,0.681666651
-177,-43,1990,0.412499991
-177,-43,2020,0.545833321
-177,-43,2021,0.665833318
-177,-41,1990,0.448333323
-177,-41,2020,0.623333319
-177,-41,2021,0.638333319
-177,-39,1990,0.433333324
-177,-39,2020,0.715833317
-177,-39,2021,0.633333319
-177,-37,1990,0.416666657
-177,-37,2020,0.791666649
-177,-37,2021,0.639999986
-177,-35,1990,0.414166657
-177,-35,2020,0.838333315
-177,-35,2021,0.641666652
-177,-33,1990,0.413333324
-177,-33,2020,0.846666648
-177,-33,2021,0.641666652
-177,-31,1990,0.384999991
-177,-31,2020,0.819999982
-177,-31,2021,0.665833318
-177,-29,1990,0.315833326
-177,-29,2020,0.771666649
-177,-29,2021,0.725833317
-177,-27,1990,0.224999995
-177,-27,2020,0.725833317
-177,-27,2021,0.806666649
-177,-25,1990,0.14083333
-177,-25,2020,0.694999984
-177,-25,2021,0.881666647
-177,-23,1990,0.064999999
-177,-23,2020,0.674999985
-177,-23,2021,0.927499979
-177,-21,1990,0.069166665
-177,-21,2020,0.692499985
-177,-21,2021,0.928333313
-177,-19,1990,0.085833331
-177,-19,2020,0.708333318
-177,-19,2021,0.884166647
-177,-17,1990,0.104166664
-177,-17,2020,0.693333318
-177,-17,2021,0.783333316
-177,-15,1990,0.134999997
-177,-15,2020,0.640833319
-177,-15,2021,0.625833319
-177,-13,1990,0.403333324
-177,-13,2020,1.064166643
