lon,lat,sst,pH,salinity,do,chl,po4,nitrate,season,site
-6.18251,39.131,27.8,8.09,34.8,5.21,0.12589,0.37415,0.64779,Wet,Zanzibar
-6.17912,39.11894,27.8,8.07,35,6.22,0.04589,0.37415,0.70898,Wet,Zanzibar
-6.17893,39.09996,27.8,8.06,34.8,6.24,0.00209,0.21247,0.45199,Wet,Zanzibar
-6.17845,39.10847,28,8.05,34.8,6,0.02589,0.06469,0.54989,Wet,Zanzibar
-6.15761,39.19114,28,8.06,34,6,0.7125,0.46654,0.73345,Wet,Zanzibar
-6.15487,39.18473,28,8.09,34.5,7.22,0.70269,0.46654,0.46423,Wet,Zanzibar
-6.15321,39.17699,27.8,8.08,35.2,6.6,0.5896,0.44344,0.34186,Wet,Zanzibar
-6.15187,39.16704,28,8.1,35.2,7,0.41256,0.44344,0.51318,Wet,Zanzibar
-6.15066,39.15677,28,8.1,35.3,6.26,0.1589,0.44344,0.46423,Wet,Zanzibar
-6.14902,39.1478,27.8,8.1,35,6.26,0.19855,0.44344,0.39081,Wet,Zanzibar
-6.14452,39.13574,27.4,8.11,36,5.95,0.09899,0.42035,0.46423,Wet,Zanzibar
-6.14227,39.12684,27.6,8.1,36.5,6.56,0.02827,0.42035,0.28067,Wet,Zanzibar
-6.13969,39.116,27.6,8.11,35.5,6.36,0.00938,0.35106,0.26843,Wet,Zanzibar
-6.13722,39.10515,27.5,8.09,35.5,6.11,0.00259,0.28176,0.21948,Wet,Zanzibar
-6.13312,39.21179,28.1,8.01,34,7.12,1.2568,0.39725,1.02715,Wet,Zanzibar
-6.12451,39.20408,28,8.04,34,6.26,1.1261,0.39725,0.62331,Wet,Zanzibar
-6.11935,39.19252,28,8.05,34.5,6.01,1.00227,0.32796,0.59884,Wet,Zanzibar
-6.11595,39.18268,28,8.06,34.8,5.64,0.90187,0.32796,0.77016,Wet,Zanzibar
-6.11335,39.1717,27.7,8.08,34.8,5.56,0.50212,0.32796,0.46423,Wet,Zanzibar
-6.10961,39.15924,28,8.08,34.8,6.01,0.30227,0.30486,0.45199,Wet,Zanzibar
-6.10653,39.14531,27.8,8.09,35,6.01,0.1025,0.30486,0.51318,Wet,Zanzibar
-6.10374,39.13555,27.2,8.08,35,6.3,0.09255,0.30486,0.4887,Wet,Zanzibar
-6.09955,39.12152,27.3,8.1,35,5.91,0.04309,0.25867,0.51318,Wet,Zanzibar
-6.09726,39.115,27.7,8.1,35,6.12,0.20285,0.23557,0.45199,Wet,Zanzibar
