pressure,lon,lat,temp,anomaly
0,-40.5,-0.5,27.2717,0.05524259259259168
0,-39.5,-0.5,27.2636,0.04714259259259279
0,-38.5,-0.5,27.2554,0.03894259259259414
0,-37.5,-0.5,27.2474,0.030942592592591467
0,-36.5,-0.5,27.2391,0.022642592592593047
0,-35.5,-0.5,27.2279,0.01144259259259428
0,-34.5,-0.5,27.2091,-0.00735740740740809
0,-33.5,-0.5,27.1795,-0.036957407407406606
0,-32.5,-0.5,27.1428,-0.07365740740740634
0,-31.5,-0.5,27.0963,-0.1201574074074081
0,-30.5,-0.5,27.045,-0.17145740740740578
0,-29.5,-0.5,26.9881,-0.22835740740740818
0,-28.5,-0.5,26.936,-0.28045740740740754
0,-27.5,-0.5,26.8891,-0.3273574074074084
0,-26.5,-0.5,26.844,-0.3724574074074063
0,-25.5,-0.5,26.7975,-0.41895740740740806
0,-24.5,-0.5,26.7463,-0.47015740740740597
0,-23.5,-0.5,26.689,-0.5274574074074074
0,-22.5,-0.5,26.6253,-0.5911574074074082
0,-21.5,-0.5,26.5536,-0.6628574074074081
0,-20.5,-0.5,26.4778,-0.738657407407409
0,-19.5,-0.5,26.4011,-0.8153574074074079
0,-18.5,-0.5,26.3297,-0.8867574074074085
0,-17.5,-0.5,26.2716,-0.9448574074074081
0,-16.5,-0.5,26.2249,-0.9915574074074058
0,-15.5,-0.5,26.1795,-1.0369574074074066
0,-14.5,-0.5,26.1316,-1.0848574074074087
0,-13.5,-0.5,26.0736,-1.1428574074074085
0,-12.5,-0.5,26.0123,-1.2041574074074077
0,-11.5,-0.5,25.9549,-1.261557407407409
0,-10.5,-0.5,25.9076,-1.3088574074074089
0,-9.5,-0.5,25.8846,-1.3318574074074085
0,-8.5,-0.5,25.9029,-1.3135574074074086
0,-7.5,-0.5,25.9735,-1.2429574074074061
0,-6.5,-0.5,26.0861,-1.1303574074074092
0,-5.5,-0.5,26.2217,-0.994757407407409
0,-4.5,-0.5,26.3594,-0.8570574074074067
0,-3.5,-0.5,26.4834,-0.7330574074074079
0,-2.5,-0.5,26.5854,-0.6310574074074076
0,-1.5,-0.5,26.6625,-0.5539574074074061
0,-0.5,-0.5,26.7203,-0.49615740740740577
0,0.5,-0.5,26.7648,-0.45165740740740645
0,1.5,-0.5,26.7971,-0.4193574074074071
0,2.5,-0.5,26.8213,-0.3951574074074067
0,3.5,-0.5,26.8357,-0.38075740740740827
0,4.5,-0.5,26.8359,-0.38055740740740873
0,5.5,-0.5,26.8245,-0.39195740740740703
0,6.5,-0.5,26.8028,-0.4136574074074062
0,7.5,-0.5,26.7772,-0.43925740740740693
0,8.5,-0.5,26.7778,-0.43865740740740833
0,43.5,-0.5,26.7681,-0.44835740740740704
0,44.5,-0.5,26.8448,-0.37165740740740816
0,45.5,-0.5,26.9254,-0.2910574074074077
0,46.5,-0.5,27.0103,-0.20615740740740662
0,47.5,-0.5,27.1032,-0.11325740740740642
0,48.5,-0.5,27.2046,-0.01185740740740826
0,49.5,-0.5,27.3157,0.09924259259259216
0,50.5,-0.5,27.4371,0.22064259259259345
0,51.5,-0.5,27.5693,0.3528425925925909
0,52.5,-0.5,27.7068,0.4903425925925937
0,53.5,-0.5,27.8467,0.630242592592591
0,54.5,-0.5,27.9857,0.7692425925925939
0,55.5,-0.5,28.1204,0.9039425925925926
0,56.5,-0.5,28.247,1.0305425925925924
0,57.5,-0.5,28.3714,1.1549425925925938
0,58.5,-0.5,28.4914,1.2749425925925912
0,59.5,-0.5,28.6034,1.3869425925925931
0,60.5,-0.5,28.6932,1.4767425925925934
0,61.5,-0.5,28.7564,1.5399425925925918
0,62.5,-0.5,28.7952,1.5787425925925938
0,63.5,-0.5,28.8203,1.603842592592592
0,64.5,-0.5,28.8393,1.622842592592594
0,65.5,-0.5,28.854,1.6375425925925917
0,66.5,-0.5,28.8651,1.6486425925925943
0,67.5,-0.5,28.8719,1.6554425925925926
0,68.5,-0.5,28.8765,1.6600425925925926
0,69.5,-0.5,28.8824,1.665942592592593
0,70.5,-0.5,28.8897,1.6732425925925938
0,71.5,-0.5,28.8966,1.680142592592592
