date,village,port,ground,sex,dml,tl,weight,lat,lon
2018-01-31,Songosongo,Pembeni,IMBI,M,15,100,3.285,-8.5262477,39.5089154
2018-01-04,Jibondo,WALANI,LWALA,F,16,112,2.28,-7.9733902,39.7280478
2018-01-15,Songosongo,FUNGUNI,BANYANI,M,13,87,0.885,-8.5252603,39.5027571
2018-01-14,Jibondo,WALANI,MCHANGA NYUMA,F,9,68,0.435,-7.9187966,39.661654
2018-02-14,Somanga,Mbuyuni,CHAMBA CHA SELEMANI,M,14,97,1.094,-8.3978381,39.280793
2018-01-30,Somanga,Mbuyuni,BANDA MRIMA,F,13,87,1.011,-8.3881779,39.2818593
2018-01-28,Songosongo,Pembeni,IMBI,F,12,77,0.67,-8.5269214,39.5102086
2018-01-31,Somanga,Mbuyuni,BANDA MRIMA,F,13,85,0.888,-8.3898087,39.2844552
2018-02-02,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,16,108,1.595,-8.3913841,39.2828327
2018-02-17,Jibondo,WALANI,MCHANGA NYUMA,F,11,75,0.7,-7.9206724,39.666814
2018-01-31,Songosongo,Pembeni,IMBI,M,12,81,1.78,-8.5266447,39.5102086
2018-02-28,Bwejuu,Kusini,NYAMALILE,F,11,62,0.75,-7.9160826,39.6542357
2018-02-18,Jibondo,WALANI,MCHANGA NYUMA,M,8,62,0.2,-7.9191335,39.6653093
2018-01-17,Somanga,Mbuyuni,CHOCHA,M,12,75,1.805,-8.397738,39.2807041
2018-02-27,Somanga,Mbuyuni,CHAMBA CHA CHOCHA,M,12,70,0.75,-8.392193,39.2780364
2018-02-28,Bwejuu,Kusini,NYAMALILE,M,11,83,0.11,-7.9160826,39.6542357
2018-03-12,Jibondo,WALANI,MCHANGA NYUMA,F,12,96,1.25,-7.9190315,39.6652922
2018-01-31,Somanga,Mbuyuni,BANDA MRIMA,M,13,88,1.085,-8.3911159,39.2851041
2018-01-20,Songosongo,Funguni,IMBI,M,17,102,1.55,-8.523331,39.5030188
