station,time,lon,lat,pressure,temperature,salinity,oxygen,fluorescence,spar,par,density
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,5,25.16858,33.92436,3.928754,0.5604399999999999,1176.5800000000002,53.8966,1022.4943
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,10,25.128139999999995,34.85958000000001,4.494383999999999,0.59902,1151.44,40.2878,1023.24108
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,15,25.10886,34.859159999999996,4.503182,0.65016,1135.48,31.2948,1023.2679
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,20,25.042159999999996,34.85854,4.510389999999999,0.67752,1124.4,25.5812,1023.3088199999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,25,24.946800000000003,34.85732,4.51319,0.7596,1110.74,21.125999999999998,1023.35802
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,30,24.910239999999998,34.862199999999994,4.5048580000000005,0.72858,1102.9199999999998,17.2228,1023.3948
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,35,24.87516,34.86618,4.492146,0.7397199999999999,1097.1200000000001,13.908600000000002,1023.43014
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,40,24.85198,34.868880000000004,4.477894,0.6928000000000001,1091.38,11.1928,1023.4609200000001
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,45,24.795740000000002,34.875919999999994,4.462026,0.7033,1087.26,9.04872,1023.5043999999998
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,50,24.61432,34.89134,4.4350439999999995,0.75218,1083.8400000000001,7.298579999999999,1023.5909800000002
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,55,24.40854,34.8964,4.347512,0.90922,1082.78,5.9313,1023.67768
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,60,24.31726,34.9022,4.268750000000001,1.0977999999999999,1077.46,4.867900000000001,1023.7317999999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,65,24.278640000000003,34.90898,4.19212,0.9135399999999999,1073.4,4.08328,1023.7709199999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,70,24.209120000000002,34.92924000000001,4.174758000000001,0.85694,1073,3.50138,1023.82844
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,75,24.112640000000003,34.94052000000001,4.1374260000000005,0.61452,1070.92,3.082,1023.88714
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,80,24.04918,34.93672,4.0969619999999995,0.48129999999999995,1069.08,2.7679199999999997,1023.9249399999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,85,23.969620000000003,34.92876,4.049136,0.41403999999999996,1068.28,2.5189600000000003,1023.9639799999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,90,23.884059999999998,34.92756,4.006772,0.31267999999999996,1070.5000000000002,2.3171,1024.0100200000002
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,95,23.758599999999998,34.93172,3.966514,0.30799999999999994,1069.86,2.15552,1024.07106
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,100,23.47034,34.94434,3.8556359999999996,0.22078000000000003,1071.12,2.0222599999999997,1024.18546
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,105,23.0837,34.9625,3.7732080000000003,0.19448000000000001,1072.94,1.91356,1024.33
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,110,22.22558,35.02314,3.548944,0.13754,1071.8600000000001,1.8207799999999998,1024.64066
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,115,22.071640000000002,35.03768,3.4372679999999995,0.12478,1069.6599999999999,1.74268,1024.7221
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,120,21.41366,35.10058,3.3476660000000003,0.1202,1068.0400000000002,1.67624,1024.96988
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,125,20.344479999999997,35.14038000000001,3.1068559999999996,0.11454,1065.1399999999999,1.61962,1025.3076
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,130,19.523239999999998,35.16958,2.8157740000000002,0.0999,1063.56,1.56922,1025.57186
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,135,19.32058,35.176840000000006,2.6801120000000003,0.09430000000000001,1061.3600000000001,1.5242799999999999,1025.6589
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,140,18.948559999999997,35.15288,2.532422,0.0949,1060.34,1.48936,1025.7590599999999
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,145,18.88424,35.146119999999996,2.455392,0.09464,1059.2,1.46166,1025.7955
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,150,18.848920000000003,35.1447,2.43607,0.0935,1059.3200000000002,1.4403000000000001,1025.8264000000001
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,155,18.658459999999998,35.154219999999995,2.4589740000000004,0.09206,1060.58,1.4231200000000002,1025.9026
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,160,18.534339999999997,35.158339999999995,2.44563,0.09676,1060.58,1.40958,1025.95992
st1,2004-08-18T15:27:46Z,40.60883333333334,-10.538666666666666,165,18.49922,35.16646,2.466362,0.09244,1059.02,1.3988200000000002,1025.99784
