lon,lat
39.45335988338078,-6.850945363783928
39.45335988338078,-6.8226522432260355
39.46750644365973,-6.78728584252867
39.4745797237992,-6.7589927219707775
39.47811636386894,-6.730699601412885
39.49226292414789,-6.713016401064202
39.48518964400841,-6.6953332007155195
39.49226292414789,-6.659966800018154
39.50640948442683,-6.645820239739208
39.51701940463604,-6.6316736794602615
39.52055604470578,-6.613990479111578
39.52762932484525,-6.578624078414213
39.52762932484525,-6.557404237995794
39.53470260498472,-6.539721037647111
39.541775885124196,-6.518501197228692
39.54531252519393,-6.497281356810272
39.54531252519393,-6.483134796531326
39.55238580533341,-6.461914956112906
